amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2019,year,2019,,line_item,10,Suppliers and employees,200,Buffalo City,BUF,-2136761
Audited Actual,AUDA,2019,year,2019,,line_item,12,Transfers and Subsidies,220,Buffalo City,BUF,-7763318
Audited Actual,AUDA,2019,year,2019,,line_item,31,Cash/cash equivalents at the year begin:,420,Buffalo City,BUF,1822330369
Audited Actual,AUDA,2019,year,2019,,line_item,32,Cash/cash equivalents at the year end:,430,Buffalo City,BUF,1812430290
Audited Actual,AUDA,2019,year,2019,,line_item,17,Decrease (increase) in non-current receivables,280,Cape Town,CPT,-176089857
Audited Actual,AUDA,2019,year,2019,,line_item,18,Decrease (increase) in non-current investments,290,Cape Town,CPT,-3831992716
Audited Actual,AUDA,2019,year,2019,,line_item,31,Cash/cash equivalents at the year begin:,420,Cape Town,CPT,7692688364
Audited Actual,AUDA,2019,year,2019,,line_item,32,Cash/cash equivalents at the year end:,430,Cape Town,CPT,3684605791
Audited Actual,AUDA,2019,year,2019,,line_item,17,Decrease (increase) in non-current receivables,280,City of Ekurhuleni,EKU,-11391
Audited Actual,AUDA,2019,year,2019,,line_item,18,Decrease (increase) in non-current investments,290,City of Ekurhuleni,EKU,79021233
Audited Actual,AUDA,2019,year,2019,,line_item,31,Cash/cash equivalents at the year begin:,420,City of Ekurhuleni,EKU,3656978696
Audited Actual,AUDA,2019,year,2019,,line_item,32,Cash/cash equivalents at the year end:,430,City of Ekurhuleni,EKU,3735988538
Audited Actual,AUDA,2019,year,2019,,line_item,17,Decrease (increase) in non-current receivables,280,eThekwini,ETH,-1
Audited Actual,AUDA,2019,year,2019,,line_item,32,Cash/cash equivalents at the year end:,430,eThekwini,ETH,-1
Audited Actual,AUDA,2019,year,2019,,line_item,17,Decrease (increase) in non-current receivables,280,Mangaung,MAN,18641
Audited Actual,AUDA,2019,year,2019,,line_item,31,Cash/cash equivalents at the year begin:,420,Mangaung,MAN,289167109
Audited Actual,AUDA,2019,year,2019,,line_item,32,Cash/cash equivalents at the year end:,430,Mangaung,MAN,289185750
Audited Actual,AUDA,2019,year,2019,,line_item,17,Decrease (increase) in non-current receivables,280,City of Tshwane,TSH,-147108927
Audited Actual,AUDA,2019,year,2019,,line_item,32,Cash/cash equivalents at the year end:,430,City of Tshwane,TSH,-147108927
